Id,Designator,Package,Quantity,Designation,Supplier and ref
6,"SW9,SW7",SW_SPST_PTS810,2,SW_SPST,
8,LS1,Speaker,1,Speaker,
9,"SW1, SW2, SW3, SW4, SW5, SW6",SW_PUSH_6mm,6,,
15,U2,SPI_OLED,1,SPI_OLED_SSH1106,
16,J1,PinHeader_1x08_P2.54mm_Vertical,1,DEBUG_HEADER,
17,RV1,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,R_POT,
18,J2,PinHeader_1x08_P2.54mm_Vertical,1,POWER_HEADER,
23,J3,PinHeader_1x04_P2.54mm_Vertical,1,UART_HEADER,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
34,Y1,Crystal_HC52-8mm_Vertical,1,12MHz,
