Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,141.75,-89,180,bottom
C2,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,136.5,-83.75,0,bottom
C3,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,149.225,-81.5,180,bottom
C4,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,141.5,-74,180,bottom
C5,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,186,-79,180,bottom
C6,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,166.75,-81,180,bottom
C7,27pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,171.25,-64.5,90,bottom
C8,27pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,175,-64.5,90,bottom
C9,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,155.65,-61.25,180,bottom
C10,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,171.65,-62.75,0,bottom
C11,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,155.4,-63.75,180,bottom
C12,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,154.9,-66.75,180,bottom
C13,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,155.65,-62.25,180,bottom
C14,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,171.65,-61.75,0,bottom
C15,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,164.4,-54.5,90,bottom
C16,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,160.9,-54.5,90,bottom
C17,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,159.4,-69.25,270,bottom
C18,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,158.4,-69.25,270,bottom
C19,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,155.65,-65.25,180,bottom
C20,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,164.4,-69.25,270,bottom
C21,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,185.5,-48.25,180,bottom
C22,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,152.35,-63.55,0,bottom
C23,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,185.75,-37.25,0,bottom
D1,RED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,175.07,-19.8425,90,bottom
D2,GRN,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,176.12,-19.84,90,bottom
D3,BLU,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,175.56,-18.15,180,bottom
F1,1A Hold,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,174.3,-40.1,90,bottom
J4,SWD_CONNECTOR,PinHeader_2x05_P1.00mm_Vertical_SMD,185.3,-56.17,0,bottom
P1,USB_C_CONNECTOR,USB_C_Receptacle_HRO_TYPE-C-31-M-12,186.25,-30.11,270,bottom
R1,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,183.08,-67.73,0,bottom
R2,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,141.5,-72.75,180,bottom
R3,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,141.75,-87.75,180,bottom
R4,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,136.5,-85,0,bottom
R5,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,149.25,-80.25,180,bottom
R6,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,186,-77.67,180,bottom
R7,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,166.725,-79.75,180,bottom
R8,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,134.5,-63.5,90,bottom
R9,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,140.7,-63.2,90,bottom
R10,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,171.65,-60.75,180,bottom
R11,27,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,178,-32.2,180,bottom
R12,27,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,178,-33.8,180,bottom
R13,4.7k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,171.65,-58.75,180,bottom
R14,300,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,174.02,-19.86,90,bottom
R15,4.7k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,171.65,-59.75,180,bottom
R16,200,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,177.18,-19.86,90,bottom
R17,200,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,175.56,-17.08,180,bottom
R18,56k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,179,-31,180,bottom
R19,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,139.65,-63.2,270,bottom
SW7,SW_SPST,SW_SPST_PTS810,135.5,-59,90,bottom
SW9,SW_SPST,SW_SPST_PTS810,139.5,-59,270,bottom
U1,RP2040,RP2040-QFN-56,163.5,-62,270,bottom
U3,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,146.35,-61.55,0,bottom
U4,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,183.5,-42.75,180,bottom
