Comment,Designator,Footprint,LCSC Part Number,Quantity
100nF,"C1,C2,C3,C4,C5,C6,C9,C10,C13,C14,C15,C16,C17,C18,C19,C20,C22",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1525,17
1uF,"C11,C12",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323,2
10uF,"C21,C23",C_1206_3225Metric_Pad1.33x2.70mm_HandSolder,C13585,2
100,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17408,1
1k,"R2,R3,R4,R5,R6,R7,R9,R10",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C11702,8
10k,"R8,R19",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744,2
4.7k,"R13,R15",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25900,2
56k,R18,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25796,1
RP2040,U1,RP2040-QFN-56,C2040,1
W25Q128JVS,U3,SOIC-8_5.23x5.23mm_P1.27mm,C97521,1
NCP1117-3.3_SOT223,U4,SOT-223-3_TabPin2,C6186,1
27pF,"C7,C8",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1557,2
USB_C_CONNECTOR,P1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
27,"R11,R12",R_0603_1005Metric_Pad0.72x0.64mm_HandSolder,C25190,2
RED,D1,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,C965790,1
GRN,D2,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,C917188,1
BLU,D3,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,C965795,1
300,R14,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25102,1
200,"R16,R17",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25087,2
SWD_CONNECTOR,J4,Arm SWD Connector,C150517,1
500mA Hold,F1,Fuse_1206,C163512,1
